Country,Population
Jamaica,2839175
Trinidad and Tobago,1507782
Bahamas,412624
United States Virgin Islands,84905
Cayman Islands,74457
Dominica,66205
Saint Kitts and Nevis,46843
Turks and Caicos Islands,46535
Sint Maarten,43350
British Virgin Islands,39471
Caribbean Netherlands,30675
Saint Martin,26129
Anguilla,14598
Saint Barthélemy,11258
Montserrat,4389
